Country,Year,Code,Happiness,Happiness Binary,PPP per capita,Unemployment Percent,Political Stability,Rule of Law,Voice and Accountability,Labor force female,Male Life Expectancy,Female Life Expectancy,MMR,Adolescent fertility,Tuberculosis
Zimbabwe,2013,552,4.69,0,2209.59,5.21,-0.666,-1.579,-1.386,49.14868827,56.461,59.494,369,111.0298,304
Afghanistan,2012,700,3.783,0,1799.59,7.94,-2.419,-1.643,-1.267,16.59700012,60.892,63.354,496,86.123,189
Albania,2012,339,5.51,1,10369.78,13.44,-0.144,-0.52,0.022,55.70100021,75.299,79.705,30,20.73,16
Argentina,2012,160,6.468,1,19224.87,7.22,0.103,-0.68,0.295,56.05500031,72.065,79.752,55,63.976,24
Armenia,2012,371,4.32,0,7511.13,17.31,0.155,-0.418,-0.57,57.79299927,70.455,76.874,30,27.215,53
Australia,2012,900,7.196,1,42754.46,5.22,0.998,1.767,1.499,70.3239975,79.9,84.3,6,14.801,6.6
Austria,2012,305,7.401,1,44551.62,4.87,1.341,1.858,1.449,70.30899811,78.4,83.6,4,8.464,8.4
Azerbaijan,2012,373,4.911,0,15888.22,5.19,-0.716,-0.835,-1.299,66.43800354,68.433,74.527,25,48.964,86
Bahrain,2012,692,5.027,0,40960.33,1.2,-1.13,0.258,-1.318,44.67900085,75.541,77.39,16,13.993,20
Bangladesh,2012,771,4.724,0,2706.59,3.91,-1.379,-0.929,-0.402,32.35400009,69.657,72.617,214,88.007,221
Belarus,2012,370,5.749,1,17472.32,0.62,0.069,-0.937,-1.567,73.03199768,66.6,77.6,4,21.258,63
Belgium,2012,211,6.935,1,41046.48,7.54,0.924,1.427,1.349,61.10900116,77.8,83.1,7,6.029,9.4
Benin,2012,434,3.193,0,1855.95,2.64,0.364,-0.586,0.124,69.53600311,58.392,61.274,429,96.365,66
Bolivia,2012,145,6.019,1,5792.93,2.05,-0.458,-1.016,-0.082,60.05799866,65.085,69.927,230,72.579,127
Bosnia and Herzegovina,2012,346,4.773,0,9929.65,28.05,-0.538,-0.207,-0.1,44.7179985,73.626,78.739,12,12.057,48
Botswana,2012,571,4.836,0,13943.89,17.49,1.104,0.662,0.533,63.50899887,59.457,65.382,153,38.663,445
Brazil,2012,140,6.66,1,15119.91,7.19,0.046,-0.069,0.478,58.36700058,70.808,78.193,60,66.999,44
Bulgaria,2012,355,4.222,0,15772.02,12.27,0.38,-0.085,0.401,63.13499832,70.9,77.9,10,43.466,36
Burkina Faso,2012,439,3.955,0,1521.45,5.55,-0.573,-0.437,-0.305,60.48400116,57.709,58.912,398,115.408,55
Cambodia,2012,811,3.899,0,2807.01,0.16,-0.104,-0.98,-0.961,83.76100159,65.303,69.453,178,48.816,411
Cameroon,2012,471,4.245,0,3021.21,4.23,-0.589,-1.042,-1.022,71.73000336,55.025,57.47,632,120.959,242
Canada,2012,20,7.415,1,41794.54,7.29,1.113,1.764,1.438,74.25099945,79.564,83.704,8,11.334,5.4
Chad,2012,483,4.033,0,1962.88,5.7,-1.044,-1.466,-1.343,65.27700043,50.205,52.398,931,178.22,151
Chile,2012,155,6.599,1,21330.24,6.66,0.331,1.392,1.077,55.30599976,76.071,81.275,24,50.361,16
China,2012,710,5.095,0,11145.75,4.47,-0.539,-0.543,-1.638,69.38600159,74.15,77.18,31,6.88,74
Colombia,2012,100,6.375,1,11790.33,9.81,-1.402,-0.354,-0.064,62.59799957,70.102,77.336,66,57.657,32
"Congo, Rep",2012,484,3.919,0,5271.17,10,-0.49,-1.143,-1.155,68.7990036,60.672,63.7,483,123.177,382
Costa Rica,2012,94,7.272,1,13878.05,9.9,0.638,0.52,1.088,50.79600143,76.635,81.595,27,59.064,13
Croatia,2012,344,6.028,1,20342.97,15.93,0.607,0.246,0.541,57.99300003,73.9,80.1,9,11.172,14
Czech Republic,2012,316,6.334,1,28527.14,6.98,1.054,1.042,0.97,63.39699936,75.1,81.2,4,11.047,6.1
Denmark,2012,390,7.52,1,44336.81,7.53,0.915,1.874,1.674,75.52500153,78.1,82.1,7,4.436,7
Dominican Republic,2012,42,4.753,0,11494.95,6.52,0.252,-0.688,0.125,56.08000183,70.067,76.357,62,100.624,52
Ecuador,2012,130,5.961,1,6663.81,3.85,-0.57,-1.135,-0.296,53.10900116,72.712,78.29,74,77.325,44
El Salvador,2012,92,5.934,1,10322.18,3.23,0.235,-0.699,-0.04,50.61000061,67.746,76.942,57,73.515,41
Estonia,2012,366,5.364,0,25692,10.02,0.636,1.157,1.112,71.57900238,71.4,81.5,9,16.131,22
Finland,2012,375,7.42,1,39912.94,7.69,1.401,1.952,1.601,48.07038446,77.7,83.7,3,7.423,5.5
France,2012,220,6.649,1,37327.94,9.4,0.555,1.454,1.238,46.58769171,78.7,85.4,9,9.439,8.9
Gabon,2012,481,3.972,0,16159.49,20.23,0.293,-0.469,-0.864,39.62575605,62.909,65.341,314,111.216,550
Georgia,2012,372,4.254,0,7881.33,15.04,-0.68,-0.015,0.022,45.76497958,68.489,76.924,39,51.648,119
Germany,2012,255,6.702,1,42822.1,5.38,0.776,1.665,1.394,45.891634,78.1,83.1,7,8.063,5.7
Ghana,2012,452,5.057,0,3632.45,3.63,0.131,0.01,0.431,49.76996463,60.617,62.477,324,71.776,173
Greece,2012,350,5.096,0,24364.27,24.44,-0.217,0.427,0.701,42.76325175,78,83.4,3,8.539,5.2
Guatemala,2012,90,5.856,1,6899.09,2.87,-0.634,-1.076,-0.356,36.25872826,68.997,75.396,105,78.571,28
Guinea,2012,438,3.652,0,1684.15,4.53,-1.287,-1.408,-1.014,48.8464935,57.186,58.365,695,145.873,180
Haiti,2012,41,4.413,0,1584.83,14.1,-0.788,-1.327,-0.763,47.61512971,59.969,64.203,372,41.265,213
Honduras,2012,91,4.602,0,4136.82,3.75,-0.35,-1.14,-0.47,33.5135215,70.314,75.316,141,77.761,44
Hungary,2012,310,4.683,0,22582.07,11,0.676,0.615,0.749,46.20269607,71.6,78.7,16,20.315,14
India,2012,750,4.72,0,4827.56,3.62,-1.289,-0.072,0.399,24.09779014,66.083,68.783,197,30.381,234
Indonesia,2012,850,5.368,0,14625.97,7.96,-0.593,-0.576,0.068,37.7005193,66.501,70.635,148,50.475,335
Iraq,2012,645,4.66,0,9251.18,4.47,-1.934,-1.458,-1.076,19.73213126,66.601,71.418,51,78.451,45
Ireland,2012,205,6.965,1,44973.18,14.67,0.941,1.734,1.323,44.35814878,78.7,83.1,8,12.028,8.4
Israel,2012,666,7.111,1,30582.15,6.86,-1.079,0.935,0.644,46.73223301,79.9,83.6,5,11.543,7.6
Italy,2012,325,5.839,1,35227.62,10.65,0.508,0.403,0.917,41.68473824,79.8,84.8,4,6.381,6
Japan,2012,740,5.968,1,36367.6,4.35,0.948,1.358,1.101,41.93389781,79.94,86.41,6,4.479,19
Jordan,2012,663,5.132,0,8964.26,12.2,-0.524,0.369,-0.734,18.07406201,72.143,75.431,59,26.669,5.2
Kazakhstan,2012,705,5.759,1,21986.32,5.29,-0.408,-0.685,-1.177,48.83301993,64.84,74.33,15,32.087,120
Kenya,2012,501,4.547,0,2602.5,11.88,-1.323,-0.824,-0.288,47.71611114,62.677,67.152,562,87.002,471
Kuwait,2012,690,6.221,1,77618,3.51,0.204,0.368,-0.643,28.34937514,73.411,75.386,4,11.012,25
Latvia,2012,367,5.125,0,20827.8,15.05,0.454,0.785,0.776,49.91869169,68.9,78.9,18,15.289,53
Lebanon,2012,660,4.573,0,15056.61,6.55,-1.665,-0.751,-0.386,24.05057078,77.202,80.817,17,13.597,15
Lithuania,2012,368,5.771,1,24049.25,13.36,0.786,0.85,0.93,50.61537881,68.4,79.6,10,14.228,62
Luxembourg,2012,212,6.964,1,89505.16,5.14,1.332,1.799,1.65,44.27979798,79.1,83.8,11,6.404,9.7
Madagascar,2012,580,3.551,0,1370.95,0.6,-0.536,-0.906,-0.883,49.49269691,62.794,65.777,402,120.032,236
Malawi,2012,553,4.279,0,1039.76,6.13,-0.003,-0.219,-0.206,48.05468979,57.524,62.22,624,144.095,294
Malaysia,2012,820,5.914,1,22590.79,3.02,-0.005,0.465,-0.347,35.9266016,72.468,77.014,45,13.149,86
Mali,2012,432,4.313,0,1804.94,7.1,-2.034,-0.671,-0.496,41.07018328,55.48,56.756,617,178.905,61
Malta,2012,338,5.963,1,29125.41,6.31,1.065,1.345,1.165,36.52531372,78.6,83,11,17.512,11
Mauritania,2012,435,4.673,0,3462.56,10.1,-1.134,-0.917,-0.911,30.92752657,61.029,63.944,682,85.632,121
Mexico,2012,70,7.32,1,16394.63,4.92,-0.662,-0.534,0.113,36.418169,73.977,78.849,42,65.97,21
Moldova,2012,359,5.996,1,4150.51,5.58,0.046,-0.325,-0.034,36.418169,66.411,74.749,26,25.652,124
Mongolia,2012,712,4.885,0,9788.83,3.9,0.471,-0.375,0.065,45.98738926,64.269,72.457,53,26.62,428
Montenegro,2012,341,5.219,0,14069.81,19.73,0.597,0.019,0.218,44.37247029,73.717,78.426,8,13.33,18
Morocco,2012,600,4.97,0,6791.34,8.99,-0.47,-0.209,-0.606,25.92486404,73.487,75.893,137,34.008,99
Nepal,2012,790,4.233,0,2103.35,2.89,-1.381,-0.736,-0.642,51.04047396,67.266,70.263,308,68.488,161
Netherlands,2012,210,7.471,1,45411.35,5.82,1.187,1.861,1.606,45.98762347,79.3,83,7,4.448,6.3
New Zealand,2012,920,7.25,1,33369.27,6.41,1.361,1.891,1.618,47.02663533,79.4,83,12,22.929,7.5
Nicaragua,2012,93,5.448,0,4453.25,5.21,-0.349,-0.732,-0.536,38.01240283,71.228,77.34,164,92.784,59
Niger,2012,436,3.798,0,862.87,0.38,-1.148,-0.648,-0.285,43.55063501,57.3,59.084,619,202.109,105
Pakistan,2012,770,5.132,0,4367.45,1.84,-2.677,-0.884,-0.844,21.04187171,64.792,66.649,197,40.824,276
Panama,2012,95,6.86,1,18441.35,4.05,-0.179,-0.192,0.469,37.29922631,74.241,80.387,101,86.861,50
Paraguay,2012,150,5.82,1,9892.17,4.09,-0.872,-0.846,-0.114,41.12583859,70.595,74.817,139,60.241,44
Peru,2012,135,5.825,1,10943.92,3.11,-0.907,-0.574,0.114,45.77149335,71.464,76.779,75,52.139,123
Philippines,2012,840,5.002,0,5988.8,3.5,-1.188,-0.523,-0.03,39.13686117,65.313,72.06,126,57.279,539
Poland,2012,290,5.876,1,23218.11,10.09,1.049,0.78,1.064,45.13553004,72.6,81.1,3,14.333,21
Portugal,2012,235,4.994,0,25805.85,15.53,0.775,1.066,1.029,48.20435932,77.3,83.6,11,11.951,27
Romania,2012,360,5.167,0,18361.15,6.79,0.082,0.042,0.319,44.1065608,70.9,78.1,30,36.352,92
Rwanda,2012,517,3.333,0,1524.07,3.44,-0.231,-0.272,-1.278,51.33341799,62.934,66.832,336,30.996,71
Saudi Arabia,2012,670,6.396,1,49658.65,5.52,-0.481,0.149,-1.866,15.76461552,72.617,75.531,13,10.41,15
Senegal,2012,433,3.669,0,2738.79,9.03,-0.108,-0.287,-0.004,41.14194421,63.529,67.13,351,83.601,136
Serbia,2012,272,5.155,0,12898.63,24,-0.217,-0.356,0.199,43.27413403,72.3,77.5,16,20.986,24
Slovenia,2012,317,6.063,1,27976.92,8.84,0.935,1.015,1,46.00396613,77.1,83.3,8,4.835,7.5
South Africa,2012,560,5.134,0,12215.25,24.73,-0.025,0.11,0.582,44.37053365,55.317,61.884,152,51,892
Spain,2012,230,6.291,1,31109.19,24.79,-0.03,1.065,1.064,45.36767746,79.5,85.5,5,8.998,14
Sri Lanka,2012,780,4.225,0,9980.02,3.88,-0.717,-0.122,-0.575,32.12896247,71.197,78.018,32,17.777,66
Sweden,2012,380,7.56,1,43308.21,7.96,1.171,1.952,1.69,47.43969038,79.9,83.6,4,5.413,7.1
Tajikistan,2012,702,4.497,0,2324.07,10.75,-1.241,-1.2,-1.422,39.3368729,67.554,73.357,34,38.92,108
Tanzania,2012,510,4.007,0,2227.83,3.24,0.051,-0.529,-0.176,50.09960727,60.679,64.386,464,122.709,378
Thailand,2012,800,6.3,1,14448.31,0.58,-1.217,-0.151,-0.321,46.23683563,70.789,78.226,22,51.563,172
Tunisia,2012,616,4.464,0,10404.22,17.63,-0.721,-0.129,-0.172,27.03356554,72.975,77.165,64,7.59,37
Turkey,2012,640,5.309,0,20282.02,8.15,-1.221,0.036,-0.207,30.51395251,71.388,78.047,19,31.243,22
Turkmenistan,2012,701,5.464,0,12235.37,3.67,0.428,-1.403,-2.25,42.19064727,63.734,70.653,45,26.455,70
Uganda,2012,500,4.309,0,1608.44,3.55,-0.869,-0.348,-0.494,47.55211635,56.328,60.319,395,126.648,205
Ukraine,2012,369,5.03,0,8322.17,7.53,-0.092,-0.783,-0.28,47.31404988,66.11,76.02,25,27.953,101
United Arab Emirates,2012,696,7.218,1,59419.09,2.97,0.863,0.54,-1.001,11.52640056,75.965,78.126,6,27.621,1
United Kingdom,2012,200,6.881,1,36892.85,7.89,0.402,1.719,1.339,46.1086953,79.1,82.8,10,17.744,14
United States,2012,2,7.026,1,50520.35,8.07,0.632,1.627,1.162,45.97083103,76.4,81.2,14,27.919,3.7
Uruguay,2012,165,6.45,1,18477.38,6.45,0.709,0.593,1.061,44.85547457,73.183,80.369,16,57.984,27
Uzbekistan,2012,704,6.019,1,4765.86,8.11,-0.519,-1.29,-2.034,41.88870147,67.864,73.397,38,17.517,89
Vietnam,2012,816,5.535,1,4821.14,1.77,0.267,-0.552,-1.42,48.36486565,70.615,80.263,56,36.061,147
Zambia,2012,551,5.013,0,3509.41,7.85,0.661,-0.365,-0.133,47.49740561,56.847,61.153,243,98.592,456
Zimbabwe,2012,552,4.955,0,2217.1,5.33,-0.779,-1.63,-1.472,49.11718254,55.036,57.848,379,112.767,355
Afghanistan,2011,700,3.832,0,1649.15,8.23,-2.502,-1.897,-1.336,15.82299995,60.484,62.924,536,92.3776,189
Albania,2011,339,5.867,1,10207.72,13.98,-0.282,-0.455,0.062,54.17300034,74.867,79.462,30,20.2754,17
Argentina,2011,160,6.776,1,19629.35,7.18,0.159,-0.561,0.345,55.73500061,71.896,79.599,56,63.9276,27
Armenia,2011,371,4.26,0,7022.1,18.44,-0.064,-0.441,-0.691,57.81800079,70.205,76.644,31,27.329,55
Australia,2011,900,7.406,1,41894.17,5.08,0.936,1.743,1.454,70.42199707,79.7,84.2,7,15.2608,6.3
Austria,2011,305,7.471,1,44452.73,4.56,1.194,1.802,1.402,69.52899933,78.3,83.8,4,8.9966,9.1
Azerbaijan,2011,373,4.68,0,15754.15,5.42,-0.532,-0.894,-1.302,66.14800262,68.175,74.355,26,46.8682,125
Bahrain,2011,692,4.824,0,40164.58,1.23,-0.951,0.352,-1.217,44.4659996,75.405,77.239,16,14.1518,20
Bangladesh,2011,771,4.986,0,2570.85,3.65,-1.405,-0.732,-0.315,31.79299927,69.343,72.085,228,89.2362,221
Belarus,2011,370,5.225,0,17166.7,0.68,-0.088,-1.107,-1.66,72.60399628,64.7,76.7,5,21.4214,62
Belgium,2011,211,7.111,1,41248.73,7.14,0.955,1.418,1.325,60.89199829,78,83.3,8,6.8292,10
Benin,2011,434,3.87,0,1820.9,2.65,0.318,-0.663,0.166,69.46399689,58.141,61.002,436,98.8278,67
Bolivia,2011,145,5.779,1,5598.51,2.22,-0.417,-0.979,-0.068,63.90599823,64.606,69.394,241,74.4374,131
Bosnia and Herzegovina,2011,346,4.995,0,9901.55,27.6,-0.82,-0.333,-0.16,44.89599991,73.452,78.58,12,12.8836,46
Botswana,2011,571,3.52,0,13596.17,17.62,1.064,0.668,0.426,59.69200134,58.322,64.013,159,40.781,480
Brazil,2011,140,7.038,1,14973.1,6.69,-0.133,0.038,0.514,58.30899811,70.481,77.901,59,67.477,44
Bulgaria,2011,355,3.875,0,15676.08,11.26,0.302,-0.112,0.45,61.96900177,70.7,77.8,11,43.5952,37
Burkina Faso,2011,439,4.785,0,1472.72,5.1,-0.555,-0.359,-0.28,60.8370018,57.106,58.285,408,118.2566,57
Cambodia,2011,811,4.161,0,2658.71,0.2,-0.304,-1.045,-0.914,84.02899933,64.833,69.065,188,48.4484,423
Cameroon,2011,471,4.434,0,2969.05,4.17,-0.662,-1.074,-1.033,71.6190033,54.646,57.03,652,123.1222,251
Canada,2011,20,7.426,1,41565.27,7.51,1.077,1.737,1.38,74.10500336,79.4,83.6,8,11.8552,4.8
Chad,2011,483,4.393,0,1863.85,5.7,-1.318,-1.474,-1.35,65.25299835,49.742,51.813,984,181.792,151
Chile,2011,155,6.526,1,20437.7,7.34,0.453,1.366,1.074,54.85900116,75.883,81.151,25,51.2002,16
China,2011,710,5.037,0,10384.37,4.34,-0.602,-0.465,-1.638,69.4960022,73.967,77.015,33,6.926,76
Colombia,2011,100,6.464,1,11463.54,10.19,-1.285,-0.256,-0.06,61.25,69.913,77.181,69,58.8626,32
"Congo, Rep",2011,484,4.51,0,5213.95,13.06,-0.354,-1.203,-1.108,68.77200317,59.92,62.852,494,124.1216,383
Costa Rica,2011,94,7.229,1,13397.23,10.18,0.508,0.451,1.054,51.10100174,76.477,81.419,28,60.1492,14
Croatia,2011,344,5.385,0,20758.46,13.68,0.624,0.218,0.521,57.67499924,73.8,79.9,10,11.8532,17
Czech Republic,2011,316,6.331,1,28797.42,6.71,1.109,1.037,1.023,62.11700058,74.8,81.1,5,11.061,6.2
Denmark,2011,390,7.788,1,44403.39,7.57,1.1,1.923,1.552,75.92500305,77.8,81.9,8,4.7226,7.4
Dominican Republic,2011,42,5.397,0,11333.55,5.82,0,-0.773,0.09,55.40499878,69.875,76.161,115,102.2394,54
Ecuador,2011,130,5.795,1,6511.44,4.3,-0.687,-1.205,-0.293,51.7140007,72.489,78.107,78,78.4622,42
El Salvador,2011,92,4.741,0,9926.9,3.46,0.111,-0.722,0.044,50.14899826,67.465,76.67,60,75.3112,38
Estonia,2011,366,5.487,0,24543.07,12.33,0.611,1.184,1.134,71.61299896,71.4,81.3,10,17.4174,25
Finland,2011,375,7.354,1,40683.53,7.78,1.393,1.949,1.508,47.85703275,77.3,83.8,3,7.7846,6.7
France,2011,220,6.959,1,37440.64,8.81,0.603,1.447,1.171,46.58970593,78.7,85.7,9,9.5568,9
Gabon,2011,481,4.255,0,15893.52,20.37,0.385,-0.461,-0.905,39.52311567,62.456,64.573,317,113.7218,554
Georgia,2011,372,4.203,0,7315.09,15.06,-0.657,-0.124,-0.173,45.84034478,68.463,76.813,39,51.4696,122
Germany,2011,255,6.621,1,42692.52,5.82,0.842,1.616,1.349,45.8600414,77.9,83.1,7,8.4046,5.8
Ghana,2011,452,5.608,1,3404.46,4.47,0.167,-0.005,0.485,49.87156396,60.332,62.154,320,72.1702,178
Greece,2011,350,5.372,0,26141.32,17.86,-0.099,0.573,0.82,42.28770343,78,83.6,3,9.1638,4.6
Guatemala,2011,90,5.743,1,6844.49,4.13,-0.744,-1.036,-0.312,34.13180512,68.633,75.041,103,80.6828,25
Guinea,2011,438,4.045,0,1625.56,4.54,-1.388,-1.445,-0.888,48.78592473,56.607,57.947,711,147.7742,183
Haiti,2011,41,4.845,0,1562.28,13.72,-0.99,-1.408,-0.749,47.50519985,59.605,63.808,369,42.2998,220
Honduras,2011,91,4.961,0,4046.08,4.47,-0.39,-0.904,-0.469,34.337481,70.144,75.123,149,80.6954,48
Hungary,2011,310,4.918,0,22841.21,11.03,0.743,0.765,0.837,46.02868213,71.2,78.7,16,20.1608,15
India,2011,750,4.635,0,4635.88,3.53,-1.327,-0.091,0.436,24.56408672,65.798,68.327,206,33.2166,241
Indonesia,2011,850,5.173,0,13261.6,8.21,-0.77,-0.593,-0.009,37.91427039,66.314,70.462,156,50.681,338
Iraq,2011,645,4.725,0,8837.82,5.15,-1.847,-1.453,-1.07,19.43228165,66.214,71.32,51,78.451,45
Ireland,2011,205,7.007,1,45147.38,14.62,0.949,1.756,1.305,44.29224932,78.6,83,8,12.874,9.6
Israel,2011,666,7.433,1,30558.39,7.14,-1.201,1.013,0.653,46.33151637,79.9,83.5,6,12.042,6.3
Italy,2011,325,6.057,1,36347.34,8.36,0.501,0.467,0.912,41.12178321,79.7,84.8,4,6.486,6.6
Japan,2011,740,6.263,1,35774.7,4.55,0.995,1.312,1.071,41.76037721,79.44,85.9,6,4.606,20
Jordan,2011,663,5.539,1,9214.21,12.9,-0.514,0.238,-0.796,18.12204303,72.01,75.257,59,27.1072,5.4
Kazakhstan,2011,705,5.736,1,21276.93,5.39,-0.339,-0.574,-1.121,48.86130377,64.16,73.81,17,31.2802,135
Kenya,2011,501,4.405,0,2556.87,11.99,-1.245,-0.904,-0.27,47.55348593,61.904,66.12,584,89.02,506
Kuwait,2011,690,6.378,1,77459.54,3.6,0.311,0.549,-0.559,28.04985711,73.318,75.232,4,11.4794,24
Latvia,2011,367,4.967,0,19773.28,16.21,0.32,0.747,0.737,49.79703841,68.6,78.8,21,15.863,47
Lebanon,2011,660,5.188,0,15693.69,6.56,-1.558,-0.691,-0.39,23.91509267,76.987,80.631,18,13.373,12
Lithuania,2011,368,5.432,0,22854.23,15.39,0.671,0.775,0.861,50.39499986,68.1,79.3,11,15.1664,65
Luxembourg,2011,212,7.101,1,92005.02,4.9,1.317,1.833,1.605,43.93083531,78.5,83.6,11,7.0484,5.5
Madagascar,2011,580,4.381,0,1367.54,2.25,-0.706,-0.888,-0.879,49.44757787,62.364,65.319,420,122.8804,238
Malawi,2011,553,3.946,0,1051.19,6.43,-0.073,-0.155,-0.245,48.24381452,56.372,60.852,618,146.1546,312
Malaysia,2011,820,5.786,1,21818.88,3.09,0.077,0.479,-0.475,35.48841802,72.264,76.82,47,13.0684,80
Mali,2011,432,4.667,0,1874.7,6.9,-0.708,-0.501,0.168,40.04602313,55.06,56.32,617,180.2178,62
Malta,2011,338,6.155,1,28612.3,6.38,1.064,1.287,1.143,35.1015113,78.6,83,11,17.6782,8.2
Mauritania,2011,435,4.785,0,3372,10.12,-1.174,-0.915,-0.928,30.77547265,60.78,63.711,704,86.37,128
Mexico,2011,70,6.91,1,16049.36,5.19,-0.668,-0.549,0.122,35.9455025,73.818,78.681,42,66.835,21
Moldova,2011,359,5.792,1,4179.22,6.68,-0.049,-0.331,0.05,35.9455025,66.013,74.219,25,25.9544,119
Mongolia,2011,712,5.031,0,8881.49,4.77,0.607,-0.267,0.052,45.55144642,63.897,72.053,58,25.0996,428
Montenegro,2011,341,5.223,0,14472.41,19.71,0.565,0.017,0.208,44.54427607,73.348,78.012,7,14.4074,20
Morocco,2011,600,5.085,0,6688.4,8.91,-0.392,-0.228,-0.71,26.38558009,73.09,75.612,144,33.8772,100
Nepal,2011,790,3.809,0,2031.09,2.53,-1.416,-0.887,-0.445,50.73326228,66.897,69.826,328,72.4714,162
Netherlands,2011,210,7.564,1,46066.65,4.98,1.114,1.822,1.537,45.91243344,79.4,83.1,8,4.6172,6.7
New Zealand,2011,920,7.191,1,32734.54,5.97,1.377,1.904,1.579,46.80987755,79.1,82.8,12,24.3634,7.9
Nicaragua,2011,93,5.386,0,4231.5,6.52,-0.27,-0.725,-0.577,37.89527436,70.922,77.042,153,95.168,58
Niger,2011,436,4.556,0,801.61,0.32,-0.878,-0.39,-0.247,43.57381213,56.708,58.406,635,203.6108,109
Pakistan,2011,770,5.267,0,4309.76,0.8,-2.81,-0.902,-0.829,20.93502214,64.532,66.377,204,40.9824,276
Panama,2011,95,7.248,1,17093.84,4.48,-0.028,0.019,0.535,36.57945656,74.055,80.187,102,87.0748,55
Paraguay,2011,150,5.677,1,10080.74,4.67,-0.693,-0.837,-0.083,39.50629446,70.432,74.641,145,61.7582,43
Peru,2011,135,5.892,1,10449.09,3.44,-0.761,-0.577,0.131,45.82693887,71.254,76.581,85,52.6508,131
Philippines,2011,840,4.994,0,5707.21,3.59,-1.392,-0.511,-0.02,39.15423089,65.198,71.923,127,56.7396,535
Poland,2011,290,5.646,1,22850.64,9.63,1.072,0.766,1.028,45.02325073,72.5,81.1,3,14.6546,24
Portugal,2011,235,5.22,0,26780.21,12.68,0.742,1.024,1.108,47.77179505,77.3,83.8,10,12.808,27
Romania,2011,360,5.023,0,17907.62,7.18,0.186,0.057,0.376,44.3321653,70.8,78.2,30,36.8946,97
Rwanda,2011,517,4.097,0,1436.87,3.25,-0.177,-0.314,-1.329,51.29761922,62.215,65.939,361,32.8808,79
Saudi Arabia,2011,670,6.7,1,48524.63,5.77,-0.465,0.052,-1.907,15.55770686,72.448,75.35,13,10.7918,16
Senegal,2011,433,3.834,0,2684.33,10.36,-0.281,-0.459,-0.22,41.14673826,63.046,66.464,365,85.5856,136
Serbia,2011,272,4.815,0,12967.84,22.97,-0.283,-0.29,0.279,43.2588757,72,77.2,16,21.2492,28
Sierra Leone,2011,451,4.502,0,1246.25,4.39,-0.168,-0.854,-0.204,50.30673041,48.435,49.643,1580,130.4906,316
Singapore,2011,830,6.561,1,75113.2,2.96,1.191,1.67,-0.102,43.83517653,79.5,84.1,12,4.3194,36
Slovenia,2011,317,6.036,1,28804.7,8.17,0.969,1.053,1.057,45.79622315,76.8,83.3,9,4.9012,10
South Africa,2011,560,4.931,0,12118.74,24.65,0.024,0.152,0.591,44.46041375,54.144,60.37,154,52.4026,922
Spain,2011,230,6.518,1,32068.27,21.39,0.021,1.198,1.086,44.83366065,79.5,85.6,5,9.642,16
Sri Lanka,2011,780,4.181,0,9193.36,4.11,-0.725,-0.122,-0.545,33.12201881,71.057,77.925,33,18.6794,66
Sweden,2011,380,7.382,1,43755.06,7.77,1.231,1.941,1.613,47.32476876,79.9,83.8,4,5.5328,6.5
Tajikistan,2011,702,4.263,0,2211.75,11.16,-1.023,-1.226,-1.381,39.53725622,67.278,73.091,35,39.6578,117
Tanzania,2011,510,4.074,0,2186.13,3.47,-0.024,-0.511,-0.141,50.63631549,59.952,63.483,483,124.2546,401
Thailand,2011,800,6.664,1,13535.13,0.66,-1.134,-0.204,-0.405,46.46749301,70.603,77.91,22,49.7384,176
Tunisia,2011,616,4.876,0,10120.68,18.33,-0.354,-0.132,-0.371,26.5403945,72.814,77.104,66,7.3584,35
Turkey,2011,640,5.272,0,19660.89,8.8,-0.96,0.075,-0.137,29.89335679,71.086,77.817,21,32.6972,24
Turkmenistan,2011,701,5.792,1,11212.54,3.75,0.234,-1.457,-2.166,42.25772022,63.469,70.447,46,25.5936,66
Uganda,2011,500,4.826,0,1602.55,3.85,-0.976,-0.361,-0.525,47.49794078,55.882,59.654,408,131.3044,207
Ukraine,2011,369,5.083,0,8281.87,7.86,-0.07,-0.819,-0.132,47.79634801,65.98,75.88,25,28.4446,105
United Arab Emirates,2011,696,7.119,1,58363.68,3.31,0.912,0.505,-0.896,11.41068356,75.811,77.961,6,28.0762,1.4
United Kingdom,2011,200,6.869,1,36607.98,8.04,0.352,1.651,1.297,46.10376047,79,83,10,19.3002,15
United States,2011,2,7.115,1,49793.71,8.95,0.591,1.6,1.127,46.09462368,76.3,81.1,14,30.2342,3.9
Uruguay,2011,165,6.554,1,17904.75,6.31,0.957,0.699,1.121,44.69422079,73.03,80.23,17,58.6358,28
Uzbekistan,2011,704,5.739,1,4470,8.16,-0.6,-1.446,-2.124,41.95443461,67.54,73.164,38,17.635,93
Vietnam,2011,816,5.767,1,4632.77,2.02,0.189,-0.545,-1.459,48.37963807,70.397,80.126,56,35.008,151
Zambia,2011,551,4.999,0,3361.11,9.99,0.51,-0.456,-0.17,47.47034835,55.813,59.904,251,102.0354,475
Zimbabwe,2011,552,4.846,0,1943.21,5.37,-0.945,-1.78,-1.464,49.0557889,53.425,56.033,409,113.5976,384
Afghanistan,2010,700,4.758,0,1693.77,7.82,-2.579,-1.845,-1.404,15.24300003,60.054,62.476,584,98.6322,189
Albania,2010,339,5.269,0,9927.15,14.2,-0.191,-0.407,0.124,52.68199921,74.404,79.209,30,19.8208,17
